entrezID	gene
84771	DDX11L1
727856	DDX11L1
100287102	DDX11L1
100287596	DDX11L1
102725121	DDX11L1
653635	WASH7P
102466751	MIR6859-1
100302278	MIR1302-2
645520	FAM138A
79501	OR4F5
102723897	WASH9P
102465909	MIR6859-2
26683	OR4F29
729759	OR4F29
101928626	
26683	OR4F16
81399	OR4F16
105378580	LINC01409
400728	FAM87B
643837	LINC01128
79854	LINC00115
107984850	
284593	FAM41C
100130417	LINC02593
148398	SAMD11
26155	NOC2L
339451	KLHL17
84069	PLEKHN1
84808	PERM1
57801	HES4
9636	ISG15
375790	AGRN
100288175	
401934	RNF223
54991	C1orf159
254099	LINC01342
406984	MIR200B
406983	MIR200A
554210	MIR429
100506376	TTLL10-AS1
254173	TTLL10
8784	TNFRSF18
7293	TNFRSF4
51150	SDF4
126792	B3GALT6
388581	C1QTNF12
118424	UBE2J2
6339	SCNN1D
116983	ACAP3
102465434	MIR6726
126789	PUSL1
54973	INTS11
102465435	MIR6727
80772	CPTP
83756	TAS1R3
1855	DVL1
102466740	MIR6808
54587	MXRA8
54998	AURKAIP1
81669	CCNL2
148413	MRPL20-AS1
55052	MRPL20
441869	ANKRD65
643965	TMEM88B
64856	VWA1
219293	ATAD3C
83858	ATAD3B
55210	ATAD3A
339453	TMEM240
29101	SSU72
643988	FNDC10
142678	MIB2
8510	MMP23B
984	CDK11B
728661	SLC35E2B
728642	CDK11A
9906	SLC35E2A
65220	NADK
2782	GNB1
163688	CALML6
339456	TMEM52
85452	CFAP74
2563	GABRD
5590	PRKCZ
100506504	PRKCZ-AS1
199990	FAAP20
6497	SKI
79906	MORN1
100129534	
11079	RER1
5192	PEX10
9651	PLCH2
55229	PANK4
388585	HES5
8764	TNFRSF14
127281	PRXL2B
79258	MMEL1
100287898	TTC34
140625	ACTRT2
440556	PRDM16-DT
63976	PRDM16
100422968	MIR4251
27237	ARHGEF16
1953	MEGF6
693135	MIR551A
127262	TPRG1L
49856	WRAP73
7161	TP73
57212	TP73-AS1
148870	CCDC27
388588	SMIM1
57470	LRRC47
9731	CEP104
1677	DFFB
339448	C1orf174
100133612	LINC01134
105376672	LINC01345
105376673	LINC02780
284661	LINC01777
55966	AJAP1
105376680	LINC02781
100616421	MIR4689
261734	NPHP4
8514	KCNAB2
26038	CHD5
6146	RPL22
102724450	RNF207-AS1
388591	RNF207
23463	ICMT
390992	HES3
387509	GPR153
11332	ACOT7
54626	HES2
83715	ESPN
100422975	MIR4252
8718	TNFRSF25
57449	PLEKHG5
79707	NOL9
80835	TAS1R1
3104	ZBTB48
9903	KLHL21
148479	PHF13
90326	THAP3
55735	DNAJC11
23261	CAMTA1
102725193	CAMTA1-AS2
9341	VAMP3
8863	PER3
10911	UTS2
3604	TNFRSF9
11315	PARK7
54206	ERRFI1
102724539	LINC01714
50651	SLC45A1
473	RERE
2023	ENO1
102465436	MIR6728
100505975	ENO1-AS1
765	CA6
155184	SLC2A7
6518	SLC2A5
80045	GPR157
106614088	MIR34AHG
407040	MIR34A
102724571	LNCTAM34A
9563	H6PD
80176	SPSB1
100506022	LINC02606
84275	SLC25A33
199953	TMEM201
5293	PIK3CD
644997	PIK3CD-AS1
101929074	PIK3CD-AS2
22883	CLSTN1
56998	CTNNBIP1
84328	LZIC
64802	NMNAT1
113391335	TMEM274P
100847055	MIR5697
116362	RBP7
10277	UBE4B
23095	KIF1B
5226	PGD
100526739	CENPS-CORT
378708	CENPS
1325	CORT
1676	DFFA
5195	PEX14
54897	CASZ1
148345	C1orf127
23435	TARDBP
10747	MASP2
6723	SRM
5394	EXOSC10
105376736	EXOSC10-AS1
2475	MTOR
100873935	MTOR-AS1
10218	ANGPTL7
29914	UBIAD1
57540	DISP3
101929181	LINC01647
26232	FBXO2
93611	FBXO44
26270	FBXO6
10459	MAD2L2
374946	DRAXIN
57085	AGTRAP
284498	C1orf167
102724659	C1orf167-AS1
4524	MTHFR
1185	CLCN6
4878	NPPA
4879	NPPB
90231	KIAA2013
5351	PLOD1
9927	MFN2
60672	MIIP
102466982	MIR6729
943	TNFRSF8
102465836	MIR7846
7133	TNFRSF1B
100616438	MIR4632
55187	VPS13D
677882	SNORA59A
677885	SNORA59A
9249	DHRS3
102466722	MIR6730
343066	AADACL4
126767	AADACL3
93190	C1orf158
390999	PRAMEF12
65121	PRAMEF1
440560	PRAMEF11
343069	HNRNPCL1
65122	PRAMEF2
400735	PRAMEF4
343071	PRAMEF10
441871	PRAMEF7
440561	PRAMEF6
101929983	PRAMEF27
649330	HNRNPCL3
441873	PRAMEF25
645359	PRAMEF25
440563	HNRNPCL2
645359	PRAMEF26
101060301	HNRNPCL4
343070	PRAMEF9
400736	PRAMEF13
391003	PRAMEF18
343068	PRAMEF5
391002	PRAMEF8
645382	PRAMEF33
653619	PRAMEF15
729528	PRAMEF14
645414	PRAMEF19
391004	PRAMEF17
645425	PRAMEF20
126755	LRRC38
10630	PDPN
7799	PRDM2
23254	KAZN
200197	TMEM51-AS1
55092	TMEM51
727684	C1orf195
114827	FHAD1
101927417	FHAD1-AS1
79180	EFHD2
11330	CTRC
63036	CELA2A
51032	CELA2B
842	CASP9
23341	DNAJC16
107397391	SCARNA21B
79814	AGMAT
84301	DDI2
6248	RSC1A1
23207	PLEKHM2
284723	SLC25A34
110806303	SLC25A34-AS1
388595	TMEM82
54751	FBLIM1
440567	UQCRHL
729614	
23013	SPEN
7709	ZBTB17
149563	SRARP
27129	HSPB7
1187	CLCNKA
1188	CLCNKB
348487	FAM131C
1969	EPHA2
128272	ARHGEF19
79363	CPLANE2
54455	FBXO42
26099	SZRD1
374955	SPATA21
55707	NECAP2
107984921	LINC01772
114819	CROCCP3
26871	RNU1-1
100132147	LINC01783
55672	NBPF1
84809	CROCCP2
26869	RNU1-3
9696	CROCC
6060	RNU1-4
11223	MST1L
100500876	MIR3675
112267871	
26870	RNU1-2
4237	MFAP2
105376806	
23400	ATP13A2
6390	SDHB
11240	PADI2
400743	LINC02783
29943	PADI1
51702	PADI3
100616188	MIR3972
23569	PADI4
353238	PADI6
55920	RCC2
55160	ARHGEF10L
81569	ACTL8
101927876	LINC01654
84966	IGSF21
127707	KLHDC7A
5081	PAX7
80834	TAS1R2
8659	ALDH4A1
100616120	MIR4695
100302276	MIR1290
126917	IFFO2
23352	UBR4
23065	EMC1
51154	MRTO4
22977	AKR7A3
8574	AKR7A2
54896	SLC66A1
832	CAPZB
440574	MICOS10
105378614	
4681	NBL1
100532736	NBL1
3362	HTR6
255104	TMCO4
54546	RNF186
23252	OTUD3
30814	PLA2G2E
5320	PLA2G2A
5322	PLA2G5
26279	PLA2G2D
64600	PLA2G2F
391013	PLA2G2C
127733	UBXN10
105376827	LINC01757
127731	VWA5B1
55450	CAMK2N1
79594	MUL1
163933	FAM43B
978	CDA
65018	PINK1
102464833	MIR6084
100861548	PINK1-AS
1650	DDOST
57576	KIF17
400745	SH2D5
50809	HP1BP3
8672	EIF4G3
100302155	MIR1256
1889	ECE1
100506801	ECE1-AS1
84224	NBPF3
249	ALPL
5909	RAP1GAP
84196	USP48
